uniqueTrackId,initialFrame,finalFrame,numFrames,class,horizontalDirection,verticalDirection
7060,7054,7160,54,pedestrian,WEST,NORTH
7087,10756,10808,27,pedestrian,WEST,NORTH
7090,10771,10889,60,pedestrian,EAST,SOUTH
7129,16903,17007,53,pedestrian,EAST,SOUTH
7131,17045,17145,51,pedestrian,WEST,NORTH
8077,5401,5499,50,pedestrian,WEST,NORTH
8095,6068,6162,48,pedestrian,WEST,NORTH
8129,9156,9244,45,pedestrian,WEST,NORTH
8149,10031,10089,30,pedestrian,WEST,SOUTH
8164,11008,11116,55,pedestrian,EAST,NORTH
8200,13780,13892,57,pedestrian,WEST,NORTH
8208,13940,14060,61,pedestrian,WEST,NORTH
8263,17338,17432,48,pedestrian,EAST,SOUTH
8333,21933,22025,47,pedestrian,WEST,NORTH
8346,22656,22764,55,pedestrian,EAST,SOUTH
8357,22668,22776,55,pedestrian,EAST,SOUTH
8358,22702,22770,35,pedestrian,EAST,SOUTH
8391,25326,25434,55,pedestrian,WEST,NORTH
8395,25328,25420,47,pedestrian,WEST,NORTH
8398,26002,26108,54,pedestrian,WEST,NORTH
8401,25724,25816,47,pedestrian,WEST,NORTH
9060,4795,4937,72,pedestrian,WEST,NORTH
9183,15556,15672,59,pedestrian,WEST,NORTH
9192,16563,16659,49,pedestrian,WEST,NORTH
10050,3683,3799,59,pedestrian,EAST,SOUTH
10060,4417,4441,13,pedestrian,WEST,NORTH
10084,6457,6537,41,pedestrian,WEST,SOUTH
10090,7340,7454,58,pedestrian,WEST,NORTH
10096,8510,8556,24,pedestrian,WEST,NORTH
10148,11682,11714,17,pedestrian,EAST,NORTH
10191,16594,16706,57,pedestrian,EAST,SOUTH
10195,16603,16689,44,pedestrian,EAST,SOUTH
10218,18110,18164,28,pedestrian,EAST,SOUTH
11057,4010,4126,59,pedestrian,WEST,SOUTH
11072,6067,6139,37,pedestrian,WEST,NORTH
11093,7096,7238,72,pedestrian,WEST,NORTH
11117,8734,8780,24,pedestrian,WEST,NORTH
11118,8765,8817,27,pedestrian,EAST,SOUTH
11120,10267,10337,36,pedestrian,WEST,NORTH
11144,11081,11231,76,pedestrian,EAST,SOUTH
11227,17228,17286,30,pedestrian,EAST,SOUTH
11228,17237,17303,34,pedestrian,EAST,SOUTH
11242,18348,18498,76,pedestrian,EAST,SOUTH
11250,18300,18436,69,pedestrian,EAST,SOUTH
11255,19206,19322,59,pedestrian,EAST,SOUTH
11277,21812,21938,64,pedestrian,EAST,NORTH
12054,5400,5534,68,pedestrian,WEST,SOUTH
12066,5895,6007,57,pedestrian,EAST,NORTH
12080,7540,7622,42,pedestrian,WEST,NORTH
12148,12681,12777,49,pedestrian,EAST,SOUTH
12185,15077,15175,50,pedestrian,WEST,NORTH
12208,17311,17445,68,pedestrian,WEST,NORTH
12219,17436,17498,32,pedestrian,EAST,SOUTH
12231,18970,19118,75,pedestrian,WEST,NORTH
12279,20803,20871,35,pedestrian,EAST,SOUTH
12306,22875,22989,58,pedestrian,EAST,SOUTH
12354,26001,26121,61,pedestrian,EAST,NORTH
13009,790,890,51,pedestrian,WEST,NORTH
13070,5649,5787,70,pedestrian,WEST,NORTH
13084,5661,5775,58,pedestrian,WEST,NORTH
13139,9556,9704,75,pedestrian,WEST,NORTH
13142,9401,9519,60,pedestrian,EAST,SOUTH
13202,14582,14694,57,pedestrian,WEST,SOUTH
13203,14729,14845,59,pedestrian,WEST,NORTH
13227,16461,16579,60,pedestrian,EAST,NORTH
13257,18485,18609,63,pedestrian,EAST,SOUTH
14071,5910,6000,46,pedestrian,EAST,SOUTH
14087,7273,7379,54,pedestrian,EAST,SOUTH
14089,7330,7452,62,pedestrian,EAST,SOUTH
14090,7571,7665,48,pedestrian,EAST,SOUTH
14137,9879,9977,50,pedestrian,WEST,SOUTH
14145,11707,11887,91,pedestrian,EAST,SOUTH
14175,12121,12247,64,pedestrian,EAST,SOUTH
14178,12982,13104,62,pedestrian,EAST,SOUTH
14194,13001,13099,50,pedestrian,WEST,SOUTH
14200,13669,13781,57,pedestrian,WEST,NORTH
14204,14008,14102,48,pedestrian,EAST,SOUTH
14211,14214,14324,56,pedestrian,WEST,SOUTH
14223,14824,14916,47,pedestrian,WEST,NORTH
14224,14844,14936,47,pedestrian,WEST,NORTH
14245,16554,16660,54,pedestrian,EAST,NORTH
14290,19503,19617,58,pedestrian,EAST,NORTH
14324,21952,22066,58,pedestrian,WEST,NORTH
14337,22380,22474,48,pedestrian,WEST,SOUTH
14339,22867,22969,52,pedestrian,WEST,NORTH
14341,22900,22992,47,pedestrian,WEST,NORTH
14350,23081,23177,49,pedestrian,WEST,NORTH
14370,24971,25043,37,pedestrian,WEST,SOUTH
15077,5348,5396,25,pedestrian,EAST,SOUTH
15086,6015,6115,51,pedestrian,EAST,SOUTH
15094,6984,7098,58,pedestrian,EAST,NORTH
15126,9977,10071,48,pedestrian,WEST,NORTH
15147,11700,11772,37,pedestrian,WEST,NORTH
